Latitude,Longitude,Temperature (°C),Rainfall (mm),Soil Quality,Crop Suitability,Historical Yield Trend
19.75,78.08,33,77,High,Groundnut,High
10.11,76.78,31,,Low,Maize,Average
11.38,83.22,28,,Low,Cotton,Average
16.84,82.21,28,147,Low,Peas,Average
16.95,76.55,,126,Low,Cotton,Low
18.29,77.41,29,,Low,Maize,Low
14.31,75.37,,143,High,Groundnut,Low
14.38,83,28,71,High,Maize,No Data
16.61,76.27,38,6,Low,Maize,High
16.19,79.69,31,125,High,Cotton,High
17.65,77.44,32,120,High,,No Data
13.27,75.91,,32,Low,None,Average
16.99,80.1,34,87,Low,,Average
18.88,76.67,36,102,Low,None,High
11.32,77.2,38,71,High,Barley,Average
17.44,82.9,30,140,High,,No Data
12.19,84.24,,28,Medium,None,No Data
13.26,78.94,,,Low,Groundnut,No Data
10.75,80.88,32,2,Low,Cotton,No Data
11.14,83.84,26,58,Low,Rice,No Data
16.14,80.23,40,,High,Barley,High
12.14,81.53,32,115,High,Rice,Low
10.59,79.16,35,109,High,Peas,Average
13.66,79.97,29,92,Low,Groundnut,High
14.71,82.28,27,31,High,Barley,Average
17.98,82.82,28,31,Medium,Maize,Average
10.95,81.62,25,,Low,Rice,High
16.05,84.89,34,37,Low,Rice,Average
13.85,77.31,32,80,High,Maize,Low
13.22,75.17,35,46,High,Peas,Average
14.75,80.02,,66,Medium,Groundnut,Average
14.63,81.66,35,53,High,Peas,High
10.28,78.24,34,75,Low,,No Data
16.74,83.72,35,17,Low,Maize,High
11.04,77.96,32,6,Medium,Cotton,High
13.29,75.16,29,40,High,,No Data
13.92,76.99,,29,High,Groundnut,No Data
13.92,76.41,32,,High,,High
15.3,84.15,25,,High,Cotton,Average
12.17,82.69,35,125,Medium,Cotton,Low
16.53,80.54,,127,High,Groundnut,High
12.21,83.44,35,,High,Wheat,High
12.35,76.41,,120,High,Barley,High
13.25,83.83,38,116,Medium,Rice,High
17.42,77.23,26,53,High,Peas,Average
17.77,76.85,35,148,High,Rice,Average
13.94,81.53,34,15,High,Maize,Average
16.8,76.18,34,60,Low,Rice,Low
11.03,83.33,39,,High,Rice,Average
14.03,84.86,39,5,High,,Low
16.43,75.3,40,,Low,Wheat,Average
10.38,78.18,39,107,Low,Maize,Average
15.4,84.35,26,148,High,Peas,Low
19.04,75.64,,16,Low,None,No Data
15.37,82.33,26,134,Low,Barley,Low
13.95,78.15,38,32,High,Cotton,No Data
11.44,82.44,28,145,Low,Maize,Average
10.28,81.79,,53,High,Cotton,Average
18.1,79.92,34,94,Low,Rice,Low
16.22,75.37,29,32,Medium,Peas,No Data
16.72,82.86,34,55,High,,Low
13.97,83.78,,31,Low,,No Data
18.57,78.54,31,33,Low,Maize,Low
12.29,84.2,35,142,Low,Wheat,Low
16.63,80.46,38,23,Medium,Peas,High
10.9,76.4,40,146,High,,No Data
14.58,84.47,30,1,Medium,,Low
19.72,83.94,37,40,Low,Cotton,No Data
14.41,83.39,27,11,Medium,,Average
16.73,82.42,28,53,Medium,Wheat,High
14.88,82.58,28,104,Medium,Barley,Average
17.43,80.22,33,39,High,Rice,Average
15.84,80.43,28,130,Low,Rice,Average
11.89,84.44,39,,Low,None,Average
10.33,84,25,,Medium,Wheat,No Data
11.01,83.81,39,,Medium,Barley,No Data
14.12,78.79,31,,High,,No Data
13.37,81.6,38,146,Low,Rice,High
13.74,82.88,26,26,Low,,Average
10.72,76.79,40,43,Low,,High
10.73,79.79,30,,Medium,Peas,High
17.86,75.65,36,62,Medium,Groundnut,Average
15.34,78.14,40,51,Medium,,High
11.06,81.68,33,22,Low,,Low
13.68,75.02,40,53,High,Maize,High
12.98,79.26,,14,Medium,,No Data
19.22,76.93,26,117,Medium,Groundnut,High
14.23,78.99,32,149,High,Groundnut,Average
14.51,81.03,37,118,Low,Maize,High
18.97,82.46,,,Low,Peas,No Data
10.3,84.87,28,100,Medium,Wheat,No Data
15.94,77.88,33,94,Low,Cotton,Low
16.81,82.71,37,6,Medium,Wheat,Average
10.17,77.18,25,15,High,,Average
12.07,81.83,,,Medium,Maize,High
12.84,81.13,,0,Medium,Barley,No Data
15.37,75.57,36,66,High,,Low
18.47,76.91,,20,High,Maize,High
17.43,79.37,38,42,Medium,,No Data
11.67,82.5,30,117,Low,Peas,Low
14.09,79.28,29,71,High,Wheat,High
16.55,75.43,28,129,High,Peas,Low
16.38,78.71,28,123,High,Wheat,Low
19.43,78.32,33,16,High,Cotton,Average
14.05,80.87,,116,High,Rice,No Data
19.87,81.91,,113,High,None,Average
14.58,82.86,28,,High,Maize,Average
11.05,78,37,53,High,Maize,High
12.5,80.38,32,111,Low,Barley,Average
18.62,79.57,26,35,High,,No Data
10.98,81.44,37,9,Low,Rice,No Data
12.02,77.49,29,69,High,Peas,High
16,78.85,35,126,Medium,Groundnut,No Data
17.72,84.63,37,45,Medium,None,No Data
14.79,78.01,36,126,Low,Rice,High
13.29,81.19,,57,High,Rice,Low
13.29,77.26,34,37,Medium,,No Data
13.45,78.41,31,103,Medium,Cotton,Low
16.74,82.09,,132,Low,None,High
17.06,82.94,40,75,Medium,Rice,Average
18.85,82.66,34,47,Low,Maize,High
15,75.98,28,9,Medium,Peas,High
18.51,78.61,27,26,High,Rice,Average
17.69,76.48,36,22,High,Wheat,Average
12.89,84.58,33,136,Medium,None,Average
11.55,75.05,39,10,Medium,None,High
18.29,78.13,27,123,High,,No Data
15.15,84.34,,,High,None,Low
14.92,81.15,27,136,Low,Barley,Low
18.25,79.16,29,35,Medium,Groundnut,Average
18.84,79.65,33,101,Medium,Peas,Average
15.4,81.31,25,62,Medium,Cotton,High
18.52,83.45,,133,High,Maize,Low
17.88,84.83,37,2,Medium,Rice,No Data
12.57,79.4,35,42,High,None,Low
13.76,83.72,35,,Medium,Maize,Average
15.48,81.66,36,143,High,,Average
18.64,77.11,26,26,High,Wheat,Low
10.82,81.13,29,135,Low,Maize,Low
18.22,78.89,,,Medium,,Average
13.92,84.95,,,High,Maize,High
17.38,82.6,40,,Medium,Cotton,High
13.94,78.6,,48,Low,Cotton,High
15.01,82.56,32,,High,Rice,No Data
11.49,75.38,33,39,High,Wheat,No Data
13.09,75.36,,141,Medium,Peas,Average
10.21,76.13,36,,Low,Maize,Low
19.09,80.57,31,,High,,No Data
17.64,84.24,34,140,Medium,Maize,No Data
10.94,76.06,29,80,Low,Cotton,No Data
12.72,79.14,27,137,Low,Cotton,High
11.93,80.87,37,,Medium,Wheat,High
18.45,82.02,36,106,High,Rice,Low
14.5,82.85,29,82,High,Rice,High
13.82,84.79,37,4,Medium,,Low
19.76,79.11,34,,Low,Rice,Low
14.74,77.79,35,89,High,Rice,Low
16.73,83.37,32,136,Low,Maize,Average
15.53,79.68,,,Medium,Wheat,High
15.96,75.13,32,55,High,Wheat,No Data
18.35,80.16,38,149,Medium,Peas,Low
15.5,83.13,36,149,Medium,Wheat,Low
14.83,82.05,37,119,High,None,Average
14.37,83.97,33,55,Medium,,Low
15.75,81.24,27,8,High,Maize,Average
16.98,76.82,37,144,Medium,Groundnut,High
16.85,78.46,,141,Medium,,Low
17.17,80.36,,59,Low,None,Average
15.76,80.61,,103,High,,No Data
11.36,76.46,30,52,Medium,Maize,No Data
11.95,81.68,40,33,Low,Barley,Average
12.08,77.51,37,125,Medium,,Average
17.65,84.42,,10,Low,None,Average
10.3,76.4,,74,Low,Groundnut,Average
19.75,80.48,,76,High,Barley,Low
19.51,81.79,30,53,Medium,Maize,Low
13.23,83.32,,14,Low,Barley,No Data
15.14,80.98,37,3,Medium,,Average
16.98,78.84,38,70,High,Peas,No Data
16.6,84.48,,49,Medium,Groundnut,Low
18.21,80.54,40,51,Medium,,Low
13.39,77.6,28,61,Low,Barley,Low
17.25,76.37,,,High,Groundnut,Average
18.38,83.91,27,84,Medium,,High
17.35,78.3,39,140,Low,Rice,High
17.96,81.8,27,20,Medium,Rice,Low
16.13,84.93,,136,High,Cotton,High
17.62,77.51,31,51,Low,Cotton,Average
10.46,75.32,38,107,Medium,,High
14.76,84.09,,3,High,None,Average
18.65,81.82,30,133,Medium,Rice,High
19.58,81.45,40,62,Medium,Barley,Low
14.34,75.38,28,114,Low,,Average
15.23,82.62,40,61,Low,Peas,Average
17.7,79.9,26,121,High,Peas,Average
16.51,80.08,33,132,High,None,High
19.83,84.73,36,108,Low,Wheat,Average
17.47,80.56,30,125,Low,Groundnut,Average
15.45,77.32,25,,High,Maize,Low
18.98,76.5,34,10,Medium,Cotton,High
13.98,76.45,,50,Low,Maize,Average
11.97,84.93,35,141,High,Maize,Average
12.32,83.71,32,13,High,Rice,No Data
15.81,82.31,31,,High,None,High
12.68,75.04,30,10,Low,Barley,Average
15.81,79.77,,81,Low,Barley,Low
18.3,76.13,29,33,High,Cotton,Average
15.62,78.83,40,76,Medium,Groundnut,Low
14.06,79.52,28,147,High,None,Low
17.12,78.48,29,43,Medium,,Average
12.37,81.48,,77,Medium,Barley,Average
18.55,75.91,29,,High,Groundnut,High
10.7,82.63,33,107,High,Rice,Low
12.16,82.79,35,128,Medium,Maize,Low
13.4,78.63,33,115,Medium,Groundnut,Average
15.21,83.03,28,131,Low,,Low
13.03,81.3,33,83,Low,,No Data
11.53,78.59,40,,Low,Maize,Low
17.89,79.51,36,17,High,Wheat,No Data
16.22,84,29,30,High,None,Low
14.5,76.44,27,38,Medium,Groundnut,No Data
13.65,84.99,,90,High,Rice,Average
11.06,82.96,38,,Medium,Barley,Average
11.35,80.54,28,119,Medium,Maize,Average
16.04,83.76,39,1,Low,Cotton,High
11.19,84.47,35,95,High,Barley,Low
13.03,76.76,37,55,Low,Maize,No Data
10.99,78.83,37,61,Medium,None,Low
17.86,80.41,26,48,Medium,Wheat,Low
16.01,76.38,30,16,Medium,Groundnut,High
18.92,84.5,34,72,High,,Average
17.54,79.83,,68,Medium,Rice,Average
18.64,78.11,34,27,Low,Maize,No Data
19.19,80.27,25,41,High,Groundnut,Average
16.49,78.32,25,99,High,None,No Data
11.83,82.34,35,48,Medium,Groundnut,Average
18.77,79.96,36,,High,Rice,High
19.49,80.1,40,34,Medium,Maize,High
18.23,81.66,29,,High,Rice,Low
14.23,75.07,28,60,Low,Wheat,High
19.16,83.71,40,108,Low,Maize,Average
11.49,77.29,,92,High,Rice,No Data
14.25,76.31,28,64,Low,Cotton,Low
13.63,79.24,28,31,High,Groundnut,High
11.89,80.4,39,85,Low,Peas,Average
10.23,78.01,39,,Medium,Rice,Average
12.11,75.68,26,116,Low,Cotton,Low
12.35,75.98,,35,Low,None,No Data
16.31,80.68,39,,Low,None,High
16.48,78.81,25,114,High,Groundnut,Low
12.69,84.15,40,95,Low,Maize,No Data
11.77,79.3,37,90,Medium,Wheat,High
17.77,82.87,25,45,Medium,,Low
12.6,84.52,34,59,High,Wheat,Average
19.38,77.93,38,7,High,,Low
11.19,77.49,,137,Medium,Barley,Low
11.15,80.48,35,65,High,Maize,No Data
14.38,84.6,32,22,High,,Average
14.41,77.73,30,121,Medium,Groundnut,Average
15.63,77.44,,49,High,None,Low
13.97,75.57,38,127,Low,Cotton,Low
16.3,83.66,30,60,High,None,Low
18.87,82.67,26,8,Medium,Groundnut,Average
11.47,79.74,37,59,High,Peas,Average
13.38,76.55,,,High,None,No Data
12.66,76.59,36,123,High,None,Low
16.96,81.53,34,34,Medium,Wheat,No Data
10.08,76.84,33,101,Low,None,No Data
15.14,77.94,31,94,Low,None,Average
13.02,83.28,40,,Low,Rice,Low
19.57,78.84,,38,Medium,Barley,High
19.98,75.1,37,115,Medium,Cotton,Low
12.18,79.62,30,,Medium,Barley,No Data
14.98,79.45,38,88,Medium,Wheat,Low
13.84,78.55,25,,Low,None,Average
19.29,81.27,30,,Medium,Groundnut,High
15.06,78.77,33,132,High,Wheat,Low
10.79,81.7,35,131,Low,Groundnut,Average
10.01,76.35,26,135,Low,Wheat,High
11.56,77.49,,41,Low,,No Data
19.19,77.34,27,71,Low,Wheat,Average
10.87,80.87,36,126,High,Maize,No Data
18.53,79.16,38,129,High,Maize,Low
15.97,80.64,37,2,Low,Cotton,High
12.82,83.38,,98,Low,Groundnut,High
15.81,82.7,35,90,High,Peas,Low
14.78,79.42,,72,High,Peas,Average
14.38,75.82,36,20,Low,,Low
14.34,82.67,31,22,Low,Peas,Average
18.51,84.01,27,78,High,Rice,No Data
18.51,83.46,26,54,High,,Average
15.77,84.01,25,,Medium,None,High
11.23,76.72,26,97,Low,Cotton,High
13.71,84.38,32,127,Medium,Barley,Average
16.88,84.3,36,,Low,Maize,Low
17.16,79.85,28,143,High,None,Low
10.77,82.96,35,78,Medium,Maize,No Data
17.88,77.32,33,69,Low,Maize,Average
13.09,84.33,33,1,High,Maize,Average
15.81,79.3,26,62,Low,Barley,No Data
11.48,81.1,35,48,Medium,Maize,Low
12.18,79.94,38,67,Low,Cotton,High
17.88,75.66,38,102,Low,Peas,High
19.39,76.73,40,106,Medium,Groundnut,High
15.74,75.26,30,,High,,High
16.25,80.98,28,145,High,,High
11.94,83.88,31,50,Low,,No Data
10.01,81.43,32,,High,Rice,Low
19.45,76.97,,108,Medium,,High
17.82,80.42,31,136,Low,,High
14.69,81.47,27,33,High,Rice,No Data
10.48,84.63,30,60,Medium,Maize,Average
16.9,78.7,,3,Low,Peas,No Data
12.42,75.48,,133,High,Rice,Average
10.56,79.92,29,14,High,Peas,High
13.62,75.47,33,101,Medium,Rice,High
15.84,83.07,25,93,Low,Wheat,No Data
15.29,78.43,26,114,High,Groundnut,No Data
12.32,82.15,,127,Medium,Maize,No Data
12.96,75.68,25,,High,None,Low
19.98,83.35,,89,Low,Rice,Low
10.19,82.09,35,22,Low,Maize,Low
15.78,81.12,,47,Medium,,Average
19.89,81.96,27,46,Low,Peas,High
16.89,75.6,34,7,Medium,Groundnut,High
10.54,77.4,35,16,Low,Wheat,High
18.47,77.54,29,134,Medium,Barley,Average
14.14,76.31,27,134,High,,Average
15.96,78.88,36,60,Medium,Peas,Average
19.26,82.76,33,83,High,Rice,No Data
19.26,76.76,,118,Medium,Peas,No Data
18.53,75.25,38,32,Medium,None,No Data
18.27,79.98,33,67,Medium,Wheat,High
17.81,83.54,27,,Low,Barley,High
14.71,81.98,34,108,Medium,Groundnut,No Data
12.71,77.84,38,113,Medium,,Average
15.49,81.32,37,22,Low,Maize,Average
16.65,82.49,25,136,High,Wheat,Low
14.74,79.83,38,,Low,,High
12.2,75.2,34,23,Medium,Peas,High
11.65,80.74,,,High,Rice,High
18.55,80.88,38,132,Medium,None,High
16.33,76.78,30,17,High,Wheat,Average
18.13,79.9,34,16,Low,Barley,Low
19.66,78.39,,,Low,Groundnut,Low
16.38,79.18,32,134,High,Peas,High
11.5,80.23,,,High,Groundnut,Average
11.6,82.17,26,45,Low,Peas,Low
13.25,76.14,33,111,Low,,Low
10.7,78.25,33,135,High,None,Average
15.34,84.38,34,59,Medium,Peas,Low
19.61,75.38,28,45,Medium,Cotton,No Data
13.16,75.33,32,146,High,Cotton,Average
12.94,76.64,38,122,High,Maize,Low
10.7,79.63,27,88,Medium,None,High
18.36,77.24,32,,High,Groundnut,No Data
16.71,76.57,36,108,Low,Maize,Low
17.53,82.76,30,76,Low,Peas,High
12.08,84.54,28,73,Medium,Wheat,No Data
19.94,82.59,35,79,High,Barley,Low
16.12,77.4,38,101,Medium,Groundnut,Low
18.42,83.75,,,Low,Maize,Low
17.5,80.02,40,9,Medium,Cotton,Average
15.41,78.96,34,5,Medium,Barley,Average
14.53,76.41,,,Low,Rice,Low
10.59,84.19,40,148,Medium,Cotton,High
13.98,83.54,36,21,High,Barley,Low
11.77,77.62,30,135,High,Cotton,Low
14.1,78.02,28,,Low,Groundnut,No Data
15.51,76.65,30,,Low,,No Data
16.43,80.51,26,58,High,Rice,High
12.69,75.86,,,Low,Barley,High
11.33,81.45,,7,High,Barley,No Data
14.97,75,30,5,High,Groundnut,No Data
17.75,82.02,32,9,High,Maize,No Data
17.04,78.37,,108,High,,High
17.01,79.27,38,81,Low,Cotton,Low
11.82,80.18,,31,Low,Cotton,Low
11.89,77.62,27,135,Medium,Maize,High
17.44,83.94,36,,Medium,Rice,High
16.3,79.29,26,41,Medium,Maize,No Data
12.11,78.48,38,41,Medium,Barley,Low
10.76,75.02,38,67,Low,Rice,High
14.09,83.48,32,91,Low,Wheat,High
19,81.78,35,139,High,Wheat,No Data
19.12,75.69,,29,High,,Average
15.44,80.39,37,80,Low,Groundnut,High
16.84,78.97,34,,High,Maize,High
17.96,76.37,32,,Medium,Cotton,High
16.25,79.64,37,39,High,Wheat,No Data
16.72,82.52,39,,Medium,Peas,No Data
13.18,81.02,26,,Low,Groundnut,Average
17.91,78.32,33,98,High,Cotton,High
15.38,75.46,25,13,Medium,Wheat,High
11.5,81.59,39,,Low,Groundnut,Average
10.9,84.1,29,96,Medium,Wheat,High
16.43,82.61,,,Medium,Groundnut,Average
19.65,82.03,37,86,Low,Wheat,Low
16.81,84.72,35,117,High,Maize,Average
17.37,81.4,29,,Medium,Maize,High
19.48,77.27,,116,High,None,Low
15.56,82.82,40,103,Low,Cotton,Low
16.86,80.31,32,24,High,None,Low
19.31,80.24,26,43,Medium,,Low
11.87,84.29,,31,Medium,Groundnut,High
11.45,75.92,,113,Low,Cotton,Average
10.37,81.4,37,88,Medium,Cotton,No Data
15.39,80.12,25,123,High,Groundnut,Low
15.69,77.63,33,133,Medium,,High
10.62,78.54,31,111,High,Maize,No Data
12.31,75.7,29,,High,,No Data
10.91,75.99,29,108,Medium,Maize,Low
11.67,79.34,35,51,Low,Maize,Low
11.45,83.89,33,10,Low,Groundnut,High
15.9,81.67,33,24,High,Peas,No Data
18.3,82.31,35,137,High,Wheat,Average
19.97,83.12,25,23,Low,,Low
15.38,75.16,34,144,High,Groundnut,High
15.55,82.42,33,,Low,Maize,Average
15.78,79.49,36,126,Medium,,No Data
12.54,83.57,30,83,High,Rice,Average
12.1,76.36,29,,Medium,Maize,No Data
13.88,81.32,40,112,Low,Rice,High
15.53,83.98,31,36,Medium,Wheat,Low
17.1,84.9,29,0,Medium,Barley,Average
16.06,77.93,27,,Low,,Average
15.65,80.41,27,98,Medium,Barley,Average
14.86,82.35,28,93,High,Groundnut,Average
17.33,81.26,39,51,Low,Groundnut,High
17.41,83.34,38,119,High,,Average
13.48,76.25,39,128,High,Groundnut,Low
17.89,75.28,32,104,Medium,Wheat,No Data
15.7,77.32,32,43,Medium,Peas,High
15.36,80.49,27,136,Medium,Groundnut,Low
10.85,82.39,34,56,Medium,,Average
19.36,83.42,28,107,Medium,Groundnut,Low
18.02,84.56,38,52,Medium,Rice,Average
18.69,78.65,38,,High,Groundnut,High
19.74,79.7,,92,High,Peas,Average
14.99,76.27,26,33,Low,,High
12.46,75.88,25,126,Low,Maize,High
11.04,78.7,30,82,High,,Low
11.54,83.86,29,90,Medium,Cotton,High
10.2,75.21,25,29,Medium,Cotton,No Data
12.5,76.83,39,119,High,Maize,Low
10.73,83.53,31,122,Low,Groundnut,No Data
